Male,Female,18-34,35-49,50-64,65+,Gen Z,Millennials,Gen X,Baby Boomers,Silent,White,Black or African American,Hispanic,Asian,Other,Northeast,Midwest,South,West,Suburban,Urban,Rural,< HS degree,HS degree to < 4-year,4-year +,< $75K,$75K +,Republican,Democrat,Independent,Other,Strong liberal,Lean liberal,Moderate,Lean conservative,Strong conservative,APPROVE,Strongly Approve,Somewhat Approve,Somewhat Disapprove,Strongly Disapprove,DISAPPROVE,Strong Support,Strong Opposition,Disengaged,Discouraged,Conflicted Support,Conflicted Opposition,Soft support,Soft opposition,White Democrats,Black Democrats,Hispanic Democrats,White Independents,Black Independents,Hispanic Independents,White Republicans,Non-white Republicans,Suburban Men,Suburban Women,Men with a college degree,Women with a college degree,Very favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Never heard of it,Very favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Never heard of it,Very favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Never heard of it,,
Mike Gravel,10,8,2,8,1,0,0,2,8,0,0,0,7,0,2,0,0,1,0,6,2,2,4,4,3,4,3,2,7,-,8,1,-,1,0,7,0,2,7,3,4,0,2,2,2,1,1,2,4,0,0,0,6,0,2,1,0,0,-,-,0,2,3,0,3,4,2,0,0,4,3,1,2,0,3,2,4,0,0
Wayne Messam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seth Moulton,5,1,4,4,1,0,0,2,4,0,0,0,0,3,0,0,2,1,0,0,4,2,3,0,0,5,0,5,0,-,5,0,-,0,2,4,0,0,3,0,3,2,1,3,0,0,4,1,0,0,0,0,0,3,0,0,0,0,-,-,0,2,0,0,0,0,2,3,1,0,0,0,4,1,0,0,0,4,1
Tim Ryan,12,6,6,8,4,0,0,2,6,4,0,0,10,1,2,0,0,2,6,2,3,4,6,1,3,3,7,2,10,-,12,0,-,5,1,4,2,2,6,4,2,3,3,6,0,1,2,1,5,2,1,1,10,1,2,0,0,0,-,-,2,2,5,2,3,7,1,0,1,6,4,1,1,1,6,4,1,0,1
Michael Bennett,3,3,0,3,0,0,0,1,2,0,0,0,0,2,0,1,0,0,0,3,0,1,2,0,0,1,2,1,2,-,3,0,-,0,1,0,0,2,2,2,0,1,0,1,2,0,0,0,0,0,0,1,0,2,0,0,0,0,-,-,1,0,2,0,2,1,0,0,0,0,2,1,0,0,2,1,0,0,0
Steve Bullock,6,4,2,3,1,1,0,2,2,0,2,0,3,0,2,1,0,0,0,4,1,5,1,0,0,2,4,4,2,-,4,2,-,2,0,4,0,0,0,0,0,1,5,6,0,3,0,2,0,0,0,1,2,0,0,0,0,2,-,-,3,2,4,0,0,2,0,4,0,0,5,1,0,0,0,1,5,0,0
Bill de Blasio,11,5,6,8,3,0,0,3,6,1,0,0,5,0,6,0,0,5,0,2,4,4,6,2,3,5,4,3,8,-,6,5,-,2,1,3,2,3,4,4,0,3,5,8,0,4,3,1,3,0,0,0,4,0,3,1,0,4,-,-,2,1,1,2,3,4,0,3,1,3,2,5,0,1,4,4,1,0,2
Joe Sestak,8,8,0,5,2,0,0,1,4,2,0,0,3,2,3,0,0,0,0,0,8,0,5,2,0,6,2,4,4,-,8,0,-,3,0,5,0,0,6,5,1,0,1,1,0,1,0,0,3,0,4,0,3,2,3,0,0,0,-,-,0,0,2,0,3,0,2,1,1,2,0,4,1,1,4,1,0,1,1
Tom Steyer,10,10,1,5,2,2,1,2,6,2,0,1,3,4,0,3,0,1,1,4,4,5,4,1,0,5,5,5,5,-,8,2,-,4,1,6,0,0,5,1,5,1,4,5,0,2,0,2,5,0,0,1,3,2,0,0,2,0,-,-,5,1,5,0,3,5,3,0,0,2,7,0,1,0,3,8,0,0,0
Other,4,2,2,2,0,0,2,0,2,0,0,2,2,0,2,0,0,0,0,0,3,3,0,0,0,4,0,0,3,-,2,2,-,0,2,0,0,2,2,2,0,2,0,2,2,0,2,0,0,0,0,0,0,0,2,2,0,0,-,-,2,2,0,0,0,0,4,0,0,0,0,3,0,0,2,0,2,0,0
Not sure,180,53,128,34,38,71,36,8,33,56,74,9,94,44,35,7,0,34,43,63,40,77,59,44,17,100,64,99,71,-,147,34,-,19,42,90,19,10,39,5,34,24,117,141,1,70,40,47,0,1,19,3,75,38,31,19,6,4,-,-,18,59,18,46,18,58,59,22,23,16,58,62,21,23,24,83,25,7,41
Not planning on voting,39,24,16,6,10,19,4,1,9,16,13,1,21,7,6,4,1,8,11,8,12,24,9,6,4,22,13,21,15,-,34,5,-,4,7,21,6,0,11,8,4,13,15,28,6,7,13,8,0,1,2,4,16,7,6,5,0,0,-,-,14,10,9,5,4,11,11,5,9,8,17,5,3,7,12,11,7,1,10
Sample Size,1339,591,748,400,322,368,248,114,371,335,457,62,739,268,255,68,10,245,264,484,345,623,476,240,93,778,468,729,577,-,1110,229,-,288,372,520,88,71,254,112,142,189,896,1085,44,686,174,200,97,21,51,66,590,235,217,149,33,38,-,-,251,372,236,232,198,500,379,187,75,220,465,382,204,68,315,561,219,75,169
